"X","date","time","Province","District","items_sold_label","Food.Item...English","source_channel","source_location","market_transport","items_sold"
55,"2023-04-17","14:08:45","Northern","Gicumbi","inyanya","Tomato","wholesaler","Gicumbi","moto","inyanya"
56,"2023-04-17","14:08:45","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","moto","ibitunguru"
57,"2023-04-17","14:13:36","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","moto","ibitunguru"
58,"2023-04-17","14:15:08","Northern","Gicumbi","biringanya","Aubergine","bulk_market","Gicumbi,rulindo","walk","biringanya"
59,"2023-04-17","14:15:08","Northern","Gicumbi","ipapayi","Papaya","bulk_market","Gicumbi,rulindo","walk","ipapayi"
61,"2023-04-17","14:23:45","Northern","Gicumbi","biringanya","Aubergine","bulk_market","Gicumbi,nyarungenge","moto,walk","biringanya"
62,"2023-04-17","14:35:04","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","farm_group","Nyagatare","moto,walk","ibijumbaby`umuhondo"
63,"2023-04-17","14:35:04","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyarungenge","moto,walk","ibitunguru"
64,"2023-04-17","14:42:53","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk","ubunyobwa"
65,"2023-04-17","14:42:53","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","walk","umuceri"
66,"2023-04-17","14:54:36","Northern","Gicumbi","beterave","Beetroot","own_farm","Gicumbi","walk","beterave"
67,"2023-04-17","14:54:36","Northern","Gicumbi","biringanya","Aubergine","own_farm","Gicumbi","walk","biringanya"
68,"2023-04-17","14:54:54","Eastern","Nyagatare","dodo","Amaranth Leaves","farm_group","Nyagatare","walk","dodo"
69,"2023-04-17","14:54:54","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk","ibitunguru"
70,"2023-04-17","14:58:42","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","walk","umuceri"
71,"2023-04-17","14:58:42","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk","ubunyobwa"
72,"2023-04-17","15:06:26","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","walk","umuceri"
73,"2023-04-17","15:06:26","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk","ubunyobwa"
74,"2023-04-17","15:09:43","Eastern","Nyagatare","amateke","Taro","neighbour_farm","Nyagatare","walk","amateke"
75,"2023-04-17","15:09:43","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","neighbour_farm","Nyagatare","walk","ibijumbaby`umuhondo"
76,"2023-04-17","15:22:37","Northern","Musanze","ibitunguru","Onion","bulk_market","Rubavu","bicycle,bus,walk","ibitunguru"
77,"2023-04-17","15:22:37","Northern","Musanze","karoti","Carrot","bulk_market","Musanze","bicycle,bus,walk","karoti"
78,"2023-04-17","15:25:19","Northern","Gicumbi","amateke","Taro","wholesaler","Gatsibo","moto","amateke"
79,"2023-04-17","15:31:10","Eastern","Nyagatare","imiteja","Faba Beans","farm_group","Nyagatare","moto,walk","imiteja"
80,"2023-04-17","15:31:10","Eastern","Nyagatare","dodo","Amaranth Leaves","farm_group","Nyagatare","moto,walk","dodo"
82,"2023-04-17","15:41:51","Northern","Musanze","dodo","Amaranth Leaves","wholesaler","Nyabihu","car,walk","dodo"
83,"2023-04-17","15:48:21","Eastern","Nyagatare","imiteja","Faba Beans","farm_group","Nyagatare","moto,walk","imiteja"
84,"2023-04-17","15:48:21","Eastern","Nyagatare","umuceri","Rice","wholesaler","Nyagatare","moto,walk","umuceri"
85,"2023-04-17","15:48:22","Northern","Musanze","ubunyobwa","Ground Nuts","wholesaler","Musanze,rubavu","walk","ubunyobwa"
86,"2023-04-17","15:48:22","Northern","Musanze","karoti","Carrot","bulk_market","Musanze","walk","karoti"
87,"2023-04-17","15:53:04","Northern","Gicumbi","beterave","Beetroot","bulk_market","Gicumbi","walk","beterave"
88,"2023-04-17","15:53:04","Northern","Gicumbi","urusenda","Chilli","bulk_market","Gicumbi","walk","urusenda"
89,"2023-04-17","15:55:28","Northern","Musanze","imiteja","Faba Beans","wholesaler","Gakenke","bicycle","imiteja"
90,"2023-04-17","15:55:28","Northern","Musanze","biringanya","Aubergine","wholesaler","Gakenke","bicycle","biringanya"
91,"2023-04-17","16:06:31","Northern","Gicumbi","ubunyobwa","Ground Nuts","bulk_market","Nyarungenge","walk","ubunyobwa"
92,"2023-04-17","16:06:31","Northern","Gicumbi","dodo","Amaranth Leaves","wholesaler","Gicumbi","walk","dodo"
93,"2023-04-17","16:06:50","Northern","Musanze","ibitunguru","Onion","wholesaler","Musanze","bicycle","ibitunguru"
94,"2023-04-17","16:08:57","Northern","Musanze","ibitunguru","Onion","wholesaler","Musanze","bicycle,walk","ibitunguru"
95,"2023-04-17","16:08:57","Northern","Musanze","karoti","Carrot","bulk_market","Musanze,rubavu","bicycle,walk","karoti"
96,"2023-04-17","16:15:37","Northern","Musanze","ibitunguru","Onion","wholesaler","Musanze","bicycle","ibitunguru"
98,"2023-04-17","16:22:39","Northern","Gicumbi","urusenda","Chilli","bulk_market","Gicumbi","walk","urusenda"
99,"2023-04-17","16:23:07","Northern","Musanze","biringanya","Aubergine","wholesaler","Musanze","bicycle","biringanya"
100,"2023-04-17","16:23:07","Northern","Musanze","imiteja","Faba Beans","wholesaler","Musanze","bicycle","imiteja"
101,"2023-04-17","16:27:26","Northern","Gicumbi","amasaka","Sorghum","own_farm","Gicumbi","moto","amasaka"
102,"2023-04-17","16:27:26","Northern","Gicumbi","ibigori","Maize","own_farm","Gicumbi","moto","ibigori"
105,"2023-04-17","16:36:56","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","moto","umuceri"
106,"2023-04-17","16:36:56","Northern","Gicumbi","amagi","Eggs","wholesaler","Gicumbi","moto","amagi"
107,"2023-04-17","16:37:02","Northern","Gicumbi","ibinyomoro","Tree Tomato","own_farm","Gicumbi","walk","ibinyomoro"
108,"2023-04-17","16:37:02","Northern","Gicumbi","inanasi","Pineapple","bulk_market","Gakenke","walk","inanasi"
109,"2023-04-17","16:38:15","Northern","Musanze","ibishyimbo","Field Beans","wholesaler","Musanze","bicycle,bus,walk","ibishyimbo"
110,"2023-04-17","16:38:15","Northern","Musanze","inyanya","Tomato","own_farm","Musanze","bicycle,bus,walk","inyanya"
111,"2023-04-17","16:39:13","Northern","Musanze","imiteja","Faba Beans","wholesaler","Musanze","walk","imiteja"
112,"2023-04-17","16:39:13","Northern","Musanze","dodo","Amaranth Leaves","wholesaler","Musanze","walk","dodo"
113,"2023-04-17","16:46:58","Eastern","Nyagatare","beterave","Beetroot","neighbour_farm","Nyagatare","walk","beterave"
114,"2023-04-17","16:50:39","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","moto","uburo"
115,"2023-04-17","16:50:39","Northern","Gicumbi","ibishyimbo","Field Beans","wholesaler","Gicumbi","moto","ibishyimbo"
116,"2023-04-17","16:52:11","Northern","Musanze","ibishyimbo","Field Beans","own_farm","Musanze","bicycle,bus,car,moto,walk","ibishyimbo"
117,"2023-04-17","16:52:11","Northern","Musanze","inyanya","Tomato","wholesaler","Musanze","bicycle,bus,car,moto,walk","inyanya"
118,"2023-04-17","16:52:16","Northern","Musanze","imiteja","Faba Beans","wholesaler","Musanze","walk","imiteja"
119,"2023-04-17","16:52:16","Northern","Musanze","biringanya","Aubergine","wholesaler","Nyarungenge","walk","biringanya"
120,"2023-04-17","16:52:53","Northern","Gicumbi","inanasi","Pineapple","bulk_market","Gicumbi","moto,walk","inanasi"
121,"2023-04-17","16:52:53","Northern","Gicumbi","ibinyomoro","Tree Tomato","bulk_market","Gicumbi","moto,walk","ibinyomoro"
122,"2023-04-17","16:59:43","Northern","Gicumbi","ibitoki(byoguteka)","Banana Cooking","own_farm","Gicumbi","moto","ibitoki(byoguteka)"
123,"2023-04-17","16:59:43","Northern","Gicumbi","ibirayi","Potato","wholesaler","Gicumbi","moto","ibirayi"
124,"2023-04-17","17:01:27","Eastern","Nyagatare","amatunda","Passionfruit","bulk_market","Kayonza","walk","amatunda"
125,"2023-04-17","17:12:16","Northern","Gicumbi","ibishyimbo","Field Beans","wholesaler","Gicumbi","moto","ibishyimbo"
126,"2023-04-17","17:12:16","Northern","Gicumbi","ibigori","Maize","wholesaler","Gicumbi","moto","ibigori"
127,"2023-04-17","17:12:19","Eastern","Nyagatare","amatunda","Passionfruit","bulk_market","Gatsibo","moto,walk","amatunda"
128,"2023-04-17","17:12:19","Eastern","Nyagatare","inanasi","Pineapple","wholesaler","Nyagatare","moto,walk","inanasi"
129,"2023-04-17","17:12:42","Northern","Musanze","ibirayi","Potato","wholesaler","Musanze,ruhango","car","ibirayi"
130,"2023-04-17","17:23:58","Northern","Gicumbi","ibigori","Maize","wholesaler","Nyagatare","walk","ibigori"
131,"2023-04-17","17:23:58","Northern","Gicumbi","amasaka","Sorghum","wholesaler","Nyarungenge","walk","amasaka"
132,"2023-04-17","17:29:18","Northern","Musanze","ibirayi","Potato","wholesaler","Musanze","bicycle,moto,walk","ibirayi"
133,"2023-04-17","17:32:14","Northern","Gicumbi","amasaka","Sorghum","wholesaler","Gicumbi","walk","amasaka"
134,"2023-04-17","17:32:14","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","walk","uburo"
135,"2023-04-17","17:41:47","Northern","Gicumbi","amatunda","Passionfruit","bulk_market","Gicumbi","bicycle,moto,walk","amatunda"
136,"2023-04-17","17:41:47","Northern","Gicumbi","ibinyomoro","Tree Tomato","neighbour_farm","Gicumbi","bicycle,moto,walk","ibinyomoro"
137,"2023-04-17","17:42:57","Eastern","Nyagatare","ibitoki(by`imineke","Banana Beer","bulk_market","Nyagatare","moto,walk","ibitoki(by`imineke"
138,"2023-04-17","17:42:57","Eastern","Nyagatare","inanasi","Pineapple","wholesaler","Nyagatare","moto,walk","inanasi"
139,"2023-04-17","17:43:18","Northern","Musanze","ibirayi","Potato","farm_group","Musanze","bicycle,car,moto","ibirayi"
140,"2023-04-17","17:49:13","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","bicycle,moto,walk","inyanya"
141,"2023-04-17","17:49:13","Northern","Gicumbi","ubunyobwa","Ground Nuts","bulk_market","Nyarungenge","bicycle,moto,walk","ubunyobwa"
142,"2023-04-17","17:54:00","Northern","Gicumbi","amatunda","Passionfruit","bulk_market","Gicumbi","moto,walk","amatunda"
143,"2023-04-17","17:54:00","Northern","Gicumbi","inanasi","Pineapple","bulk_market","Gakenke","moto,walk","inanasi"
144,"2023-04-18","09:28:38","Eastern","Nyagatare","ibitoki(by`imineke","Banana Beer","wholesaler","Nyagatare","walk","ibitoki(by`imineke"
145,"2023-04-18","09:28:38","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk","ibitunguru"
146,"2023-04-18","09:49:42","Eastern","Nyagatare","imiteja","Faba Beans","wholesaler","Nyagatare","walk","imiteja"
147,"2023-04-18","09:49:42","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk","karoti"
148,"2023-04-18","10:17:34","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk","karoti"
149,"2023-04-18","10:17:34","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk","inyanya"
150,"2023-04-18","10:17:34","Eastern","Nyagatare","biringanya","Aubergine","own_farm","Nyagatare","walk","biringanya"
151,"2023-04-18","10:52:28","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","wholesaler","Nyagatare","walk","ibijumbaby`umuhondo"
152,"2023-04-18","10:52:28","Eastern","Nyagatare","imyumbati","Cassava Root","neighbour_farm","Nyagatare","walk","imyumbati"
153,"2023-04-18","10:52:28","Eastern","Nyagatare","ibitoki(byoguteka)","Banana Cooking","wholesaler","Nyagatare","walk","ibitoki(byoguteka)"
154,"2023-04-18","11:03:49","Eastern","Nyagatare","ibijumbaby`umweru","Sweet Potatoes White","neighbour_farm","Nyagatare","walk","ibijumbaby`umweru"
155,"2023-04-18","11:03:49","Eastern","Nyagatare","imyumbati","Cassava Root","wholesaler","Nyagatare","walk","imyumbati"
156,"2023-04-18","11:03:49","Eastern","Nyagatare","ibitoki(byoguteka)","Banana Cooking","wholesaler","Nyagatare","walk","ibitoki(byoguteka)"
157,"2023-04-18","11:25:28","Eastern","Nyagatare","imiteja","Faba Beans","neighbour_farm","Nyagatare","walk","imiteja"
158,"2023-04-18","11:25:28","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk","inyanya"
159,"2023-04-18","11:25:28","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk","ibitunguru"
160,"2023-04-18","11:42:45","Eastern","Nyagatare","amateke","Taro","wholesaler","Nyagatare","walk","amateke"
161,"2023-04-18","11:42:45","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","wholesaler","Nyagatare","walk","ibijumbaby`umuhondo"
162,"2023-04-18","11:42:45","Eastern","Nyagatare","imyumbati","Cassava Root","wholesaler","Nyagatare","walk","imyumbati"
163,"2023-04-18","11:42:51","Northern","Gakenke","inanasi","Pineapple","wholesaler","Gakenke","bicycle","inanasi"
164,"2023-04-18","11:42:51","Northern","Gakenke","biringanya","Aubergine","farm_group","Gakenke","bicycle","biringanya"
165,"2023-04-18","11:42:51","Northern","Gakenke","ibitunguru","Onion","wholesaler","Musanze","bicycle","ibitunguru"
166,"2023-04-18","11:46:14","Northern","Gakenke","ibitunguru","Onion","wholesaler","Gakenke","bicycle,car,walk","ibitunguru"
167,"2023-04-18","11:46:14","Northern","Gakenke","imiteja","Faba Beans","own_farm","Gakenke","bicycle,car,walk","imiteja"
168,"2023-04-18","11:46:14","Northern","Gakenke","karoti","Carrot","wholesaler","Gakenke","bicycle,car,walk","karoti"
169,"2023-04-18","12:00:42","Northern","Gicumbi","amatunda","Passionfruit","wholesaler","Gakenke,gicumbi","walk","amatunda"
170,"2023-04-18","12:00:42","Northern","Gicumbi","inanasi","Pineapple","wholesaler","Gakenke,gicumbi","walk","inanasi"
171,"2023-04-18","12:00:42","Northern","Gicumbi","ibinyomoro","Tree Tomato","wholesaler","Gicumbi","walk","ibinyomoro"
172,"2023-04-18","12:02:54","Northern","Gakenke","ibitunguru","Onion","wholesaler","Gakenke","walk","ibitunguru"
173,"2023-04-18","12:02:54","Northern","Gakenke","karoti","Carrot","wholesaler","Gakenke","walk","karoti"
174,"2023-04-18","12:02:54","Northern","Gakenke","imiteja","Faba Beans","wholesaler","Gakenke","walk","imiteja"
175,"2023-04-18","12:04:48","Eastern","Nyagatare","ubunyobwa","Ground Nuts","wholesaler","Nyarungenge","walk","ubunyobwa"
176,"2023-04-18","12:04:48","Eastern","Nyagatare","umuceri","Rice","wholesaler","Nyagatare","walk","umuceri"
178,"2023-04-18","12:09:57","Northern","Gicumbi","amatunda","Passionfruit","wholesaler","Gicumbi,musanze","walk","amatunda"
179,"2023-04-18","12:09:57","Northern","Gicumbi","inanasi","Pineapple","wholesaler","Gakenke,gicumbi","walk","inanasi"
180,"2023-04-18","12:09:57","Northern","Gicumbi","ibinyomoro","Tree Tomato","wholesaler","Gicumbi,musanze","walk","ibinyomoro"
181,"2023-04-18","12:14:00","Northern","Gakenke","ibitunguru","Onion","wholesaler","Gakenke,musanze","bicycle","ibitunguru"
182,"2023-04-18","12:14:00","Northern","Gakenke","urusenda","Chilli","wholesaler","Gakenke","bicycle","urusenda"
183,"2023-04-18","12:14:00","Northern","Gakenke","beterave","Beetroot","wholesaler","Musanze","bicycle","beterave"
184,"2023-04-18","12:15:47","Northern","Gakenke","inyanya","Tomato","bulk_market","Gakenke,ruhango","bicycle,walk","inyanya"
185,"2023-04-18","12:15:47","Northern","Gakenke","imiteja","Faba Beans","wholesaler","Gakenke","bicycle,walk","imiteja"
186,"2023-04-18","12:15:47","Northern","Gakenke","karoti","Carrot","wholesaler","Other,rubavu","bicycle,walk","karoti"
187,"2023-04-18","12:16:00","Northern","Gicumbi","amatunda","Passionfruit","wholesaler","Gakenke","moto","amatunda"
188,"2023-04-18","12:16:00","Northern","Gicumbi","inanasi","Pineapple","wholesaler","Gakenke,gicumbi","moto","inanasi"
189,"2023-04-18","12:16:00","Northern","Gicumbi","ibinyomoro","Tree Tomato","wholesaler","Gicumbi","moto","ibinyomoro"
190,"2023-04-18","12:29:37","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","bulk_market","Gakenke","walk","ibitoki(byoguteka)"
191,"2023-04-18","12:29:37","Northern","Gakenke","ibitoki(by`imineke","Banana Beer","wholesaler","Gakenke","walk","ibitoki(by`imineke"
192,"2023-04-18","12:29:37","Northern","Gakenke","ibitoki(by`inzoga)","Banana Beer","wholesaler","Gakenke","walk","ibitoki(by`inzoga)"
193,"2023-04-18","12:35:58","Northern","Gakenke","ibitunguru","Onion","wholesaler","Musanze","bicycle","ibitunguru"
194,"2023-04-18","12:35:58","Northern","Gakenke","urusenda","Chilli","wholesaler","Gakenke,musanze","bicycle","urusenda"
195,"2023-04-18","12:35:58","Northern","Gakenke","beterave","Beetroot","wholesaler","Musanze","bicycle","beterave"
197,"2023-04-18","12:37:15","Northern","Gicumbi","ipapayi","Papaya","wholesaler","Gicumbi","walk","ipapayi"
200,"2023-04-18","12:44:50","Northern","Gicumbi","ipapayi","Papaya","wholesaler","Gicumbi","walk","ipapayi"
202,"2023-04-18","12:47:08","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","wholesaler","Gakenke,ruhango","walk","ibitoki(byoguteka)"
205,"2023-04-18","12:52:51","Northern","Gicumbi","ipapayi","Papaya","wholesaler","Gicumbi","walk","ipapayi"
206,"2023-04-18","12:58:14","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","wholesaler","Ruhango","bicycle,walk","ibitoki(byoguteka)"
207,"2023-04-18","13:07:54","Northern","Gicumbi","soya","Soya Beans","wholesaler","Gicumbi,musanze","walk","soya"
208,"2023-04-18","13:07:54","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","walk","uburo"
209,"2023-04-18","13:07:54","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi,rutsiro","walk","ingano"
210,"2023-04-18","13:07:58","Northern","Gakenke","inanasi","Pineapple","farm_group","Gakenke","walk","inanasi"
211,"2023-04-18","13:14:08","Northern","Gicumbi","soya","Soya Beans","wholesaler","Gicumbi","walk","soya"
212,"2023-04-18","13:14:08","Northern","Gicumbi","uburo","Millet","wholesaler","Gakenke,gicumbi,musanze","walk","uburo"
213,"2023-04-18","13:14:08","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","walk","ingano"
214,"2023-04-18","13:17:11","Eastern","Nyagatare","isombe","Cassava Leaves","neighbour_farm","Nyagatare","walk","isombe"
215,"2023-04-18","13:20:52","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","walk","uburo"
216,"2023-04-18","13:20:52","Northern","Gicumbi","soya","Soya Beans","wholesaler","Gicumbi","walk","soya"
217,"2023-04-18","13:20:52","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","walk","ingano"
218,"2023-04-18","13:21:44","Northern","Gakenke","ibirayi","Potato","farm_group","Gakenke","walk","ibirayi"
219,"2023-04-18","13:23:18","Northern","Gakenke","inanasi","Pineapple","farm_group","Gakenke","bicycle,walk","inanasi"
220,"2023-04-18","13:28:50","Eastern","Nyagatare","beterave","Beetroot","neighbour_farm","Nyagatare","walk","beterave"
221,"2023-04-18","13:28:50","Eastern","Nyagatare","dodo","Amaranth Leaves","neighbour_farm","Nyagatare","walk","dodo"
222,"2023-04-18","13:28:50","Eastern","Nyagatare","ubunyobwa","Ground Nuts","wholesaler","Nyarungenge","walk","ubunyobwa"
223,"2023-04-18","13:29:09","Northern","Gakenke","ibirayi","Potato","wholesaler","Gakenke,ruhango","bicycle,car,walk","ibirayi"
224,"2023-04-18","13:31:53","Northern","Gakenke","ibigori","Maize","wholesaler","Gakenke","walk","ibigori"
225,"2023-04-18","13:31:53","Northern","Gakenke","ibishyimbo","Field Beans","farm_group","Gakenke","walk","ibishyimbo"
226,"2023-04-18","13:42:41","Eastern","Nyagatare","voka","Avocado","wholesaler","Nyagatare","walk","voka"
228,"2023-04-18","13:42:41","Eastern","Nyagatare","amatunda","Passionfruit","wholesaler","Nyagatare","walk","amatunda"
229,"2023-04-18","13:43:03","Northern","Gakenke","amasaka","Sorghum","wholesaler","Gakenke","bicycle","amasaka"
230,"2023-04-18","13:43:03","Northern","Gakenke","ibigori","Maize","farm_group","Gakenke","bicycle","ibigori"
231,"2023-04-18","13:43:03","Northern","Gakenke","ibishyimbo","Field Beans","bulk_market","Gakenke","bicycle","ibishyimbo"
232,"2023-04-18","13:50:47","Eastern","Nyagatare","beterave","Beetroot","wholesaler","Nyagatare","walk","beterave"
233,"2023-04-18","13:50:47","Eastern","Nyagatare","urusenda","Chilli","wholesaler","Nyagatare","walk","urusenda"
234,"2023-04-18","13:50:47","Eastern","Nyagatare","umuceri","Rice","wholesaler","Nyagatare","walk","umuceri"
