"","X","date","time","Province","District","items_sold_label","Food.Item...English","source_channel","source_location","market_transport"
"24",25,"2023-04-17","12:50:08","Northern","Gicumbi","dodo","Amaranth Leaves","bulk_market","Gicumbi","walk"
"25",26,"2023-04-17","12:54:44","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk"
"26",27,"2023-04-17","12:54:44","Northern","Gicumbi","ibitoki(byoguteka)","Banana Cooking","wholesaler","Gicumbi","walk"
"27",28,"2023-04-17","12:59:44","Eastern","Nyagatare","ibinyomoro","Tree Tomato","bulk_market","Gasabo","moto,walk"
"28",31,"2023-04-17","13:02:03","Northern","Gicumbi","voka","Avocado","bulk_market","Gicumbi","walk"
"29",32,"2023-04-17","13:06:00","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","moto"
"30",33,"2023-04-17","13:06:00","Northern","Gicumbi","ibirayi","Potato","wholesaler","Gicumbi","moto"
"31",34,"2023-04-17","13:07:34","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","moto"
"32",35,"2023-04-17","13:07:34","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","moto"
"33",36,"2023-04-17","13:13:22","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk"
"34",37,"2023-04-17","13:13:22","Northern","Gicumbi","amashu","Cabbage","neighbour_farm","Gicumbi,musanze,ruhango","walk"
"35",38,"2023-04-17","13:22:28","Eastern","Nyagatare","amatunda","Passionfruit","wholesaler","Kayonza","walk"
"36",39,"2023-04-17","13:22:28","Eastern","Nyagatare","ibinyomoro","Tree Tomato","bulk_market","Gasabo","walk"
"37",40,"2023-04-17","13:25:41","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk"
"38",41,"2023-04-17","13:25:41","Northern","Gicumbi","isombe","Cassava Leaves","wholesaler","Gicumbi","walk"
"39",42,"2023-04-17","13:25:51","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","walk"
"40",43,"2023-04-17","13:25:51","Northern","Gicumbi","ibirayi","Potato","wholesaler","Gicumbi","walk"
"41",44,"2023-04-17","13:26:35","Eastern","Nyagatare","inyanya","Tomato","cooperative","Nyagatare","walk"
"42",45,"2023-04-17","13:26:35","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk"
"43",46,"2023-04-17","13:44:14","Northern","Gicumbi","urusenda","Chilli","wholesaler","Gicumbi","walk"
"44",47,"2023-04-17","13:44:14","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk"
"45",48,"2023-04-17","13:53:27","Northern","Gicumbi","amashaza","Green Peas","bulk_market","Burera,gicumbi,musanze","walk"
"46",49,"2023-04-17","14:03:54","Northern","Gicumbi","inyanya","Tomato","wholesaler","Gicumbi","walk"
"47",50,"2023-04-17","14:03:54","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","walk"
"48",51,"2023-04-17","14:04:07","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","moto,walk"
"49",52,"2023-04-17","14:04:07","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gasabo","moto,walk"
"50",53,"2023-04-17","14:07:29","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk"
"51",54,"2023-04-17","14:07:29","Eastern","Nyagatare","imyumbati","Cassava Root","neighbour_farm","Nyagatare","walk"
"52",55,"2023-04-17","14:08:45","Northern","Gicumbi","inyanya","Tomato","wholesaler","Gicumbi","moto"
"53",56,"2023-04-17","14:08:45","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","moto"
"54",57,"2023-04-17","14:13:36","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","moto"
"55",58,"2023-04-17","14:15:08","Northern","Gicumbi","biringanya","Aubergine","bulk_market","Gicumbi,rulindo","walk"
"56",59,"2023-04-17","14:15:08","Northern","Gicumbi","ipapayi","Papaya","bulk_market","Gicumbi,rulindo","walk"
"57",61,"2023-04-17","14:23:45","Northern","Gicumbi","biringanya","Aubergine","bulk_market","Gicumbi,nyarungenge","moto,walk"
"58",62,"2023-04-17","14:35:04","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","farm_group","Nyagatare","moto,walk"
"59",63,"2023-04-17","14:35:04","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyarungenge","moto,walk"
"60",64,"2023-04-17","14:42:53","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk"
"61",65,"2023-04-17","14:42:53","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","walk"
"62",66,"2023-04-17","14:54:36","Northern","Gicumbi","beterave","Beetroot","own_farm","Gicumbi","walk"
"63",67,"2023-04-17","14:54:36","Northern","Gicumbi","biringanya","Aubergine","own_farm","Gicumbi","walk"
"64",68,"2023-04-17","14:54:54","Eastern","Nyagatare","dodo","Amaranth Leaves","farm_group","Nyagatare","walk"
"65",69,"2023-04-17","14:54:54","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk"
"66",70,"2023-04-17","14:58:42","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","walk"
"67",71,"2023-04-17","14:58:42","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk"
"68",72,"2023-04-17","15:06:26","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","walk"
"69",73,"2023-04-17","15:06:26","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","walk"
"70",74,"2023-04-17","15:09:43","Eastern","Nyagatare","amateke","Taro","neighbour_farm","Nyagatare","walk"
"71",75,"2023-04-17","15:09:43","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","neighbour_farm","Nyagatare","walk"
"72",76,"2023-04-17","15:22:37","Northern","Musanze","ibitunguru","Onion","bulk_market","Rubavu","bicycle,bus,walk"
"73",77,"2023-04-17","15:22:37","Northern","Musanze","karoti","Carrot","bulk_market","Musanze","bicycle,bus,walk"
"74",78,"2023-04-17","15:25:19","Northern","Gicumbi","amateke","Taro","wholesaler","Gatsibo","moto"
"75",79,"2023-04-17","15:31:10","Eastern","Nyagatare","imiteja","Faba Beans","farm_group","Nyagatare","moto,walk"
"76",80,"2023-04-17","15:31:10","Eastern","Nyagatare","dodo","Amaranth Leaves","farm_group","Nyagatare","moto,walk"
"77",82,"2023-04-17","15:41:51","Northern","Musanze","dodo","Amaranth Leaves","wholesaler","Nyabihu","car,walk"
"78",83,"2023-04-17","15:48:21","Eastern","Nyagatare","imiteja","Faba Beans","farm_group","Nyagatare","moto,walk"
"79",84,"2023-04-17","15:48:21","Eastern","Nyagatare","umuceri","Rice","wholesaler","Nyagatare","moto,walk"
"80",85,"2023-04-17","15:48:22","Northern","Musanze","ubunyobwa","Ground Nuts","wholesaler","Musanze,rubavu","walk"
"81",86,"2023-04-17","15:48:22","Northern","Musanze","karoti","Carrot","bulk_market","Musanze","walk"
"82",87,"2023-04-17","15:53:04","Northern","Gicumbi","beterave","Beetroot","bulk_market","Gicumbi","walk"
"83",88,"2023-04-17","15:53:04","Northern","Gicumbi","urusenda","Chilli","bulk_market","Gicumbi","walk"
"84",89,"2023-04-17","15:55:28","Northern","Musanze","imiteja","Faba Beans","wholesaler","Gakenke","bicycle"
"85",90,"2023-04-17","15:55:28","Northern","Musanze","biringanya","Aubergine","wholesaler","Gakenke","bicycle"
"86",91,"2023-04-17","16:06:31","Northern","Gicumbi","ubunyobwa","Ground Nuts","bulk_market","Nyarungenge","walk"
"87",92,"2023-04-17","16:06:31","Northern","Gicumbi","dodo","Amaranth Leaves","wholesaler","Gicumbi","walk"
"88",93,"2023-04-17","16:06:50","Northern","Musanze","ibitunguru","Onion","wholesaler","Musanze","bicycle"
"89",94,"2023-04-17","16:08:57","Northern","Musanze","ibitunguru","Onion","wholesaler","Musanze","bicycle,walk"
"90",95,"2023-04-17","16:08:57","Northern","Musanze","karoti","Carrot","bulk_market","Musanze,rubavu","bicycle,walk"
"91",96,"2023-04-17","16:15:37","Northern","Musanze","ibitunguru","Onion","wholesaler","Musanze","bicycle"
"92",98,"2023-04-17","16:22:39","Northern","Gicumbi","urusenda","Chilli","bulk_market","Gicumbi","walk"
"93",99,"2023-04-17","16:23:07","Northern","Musanze","biringanya","Aubergine","wholesaler","Musanze","bicycle"
"94",100,"2023-04-17","16:23:07","Northern","Musanze","imiteja","Faba Beans","wholesaler","Musanze","bicycle"
"95",101,"2023-04-17","16:27:26","Northern","Gicumbi","amasaka","Sorghum","own_farm","Gicumbi","moto"
"96",102,"2023-04-17","16:27:26","Northern","Gicumbi","ibigori","Maize","own_farm","Gicumbi","moto"
"97",105,"2023-04-17","16:36:56","Northern","Gicumbi","umuceri","Rice","wholesaler","Gicumbi","moto"
"98",106,"2023-04-17","16:36:56","Northern","Gicumbi","amagi","Eggs","wholesaler","Gicumbi","moto"
"99",107,"2023-04-17","16:37:02","Northern","Gicumbi","ibinyomoro","Tree Tomato","own_farm","Gicumbi","walk"
"100",108,"2023-04-17","16:37:02","Northern","Gicumbi","inanasi","Pineapple","bulk_market","Gakenke","walk"
"101",109,"2023-04-17","16:38:15","Northern","Musanze","ibishyimbo","Field Beans","wholesaler","Musanze","bicycle,bus,walk"
"102",110,"2023-04-17","16:38:15","Northern","Musanze","inyanya","Tomato","own_farm","Musanze","bicycle,bus,walk"
"103",111,"2023-04-17","16:39:13","Northern","Musanze","imiteja","Faba Beans","wholesaler","Musanze","walk"
"104",112,"2023-04-17","16:39:13","Northern","Musanze","dodo","Amaranth Leaves","wholesaler","Musanze","walk"
"105",113,"2023-04-17","16:46:58","Eastern","Nyagatare","beterave","Beetroot","neighbour_farm","Nyagatare","walk"
"106",114,"2023-04-17","16:50:39","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","moto"
"107",115,"2023-04-17","16:50:39","Northern","Gicumbi","ibishyimbo","Field Beans","wholesaler","Gicumbi","moto"
"108",116,"2023-04-17","16:52:11","Northern","Musanze","ibishyimbo","Field Beans","own_farm","Musanze","bicycle,bus,car,moto,walk"
"109",117,"2023-04-17","16:52:11","Northern","Musanze","inyanya","Tomato","wholesaler","Musanze","bicycle,bus,car,moto,walk"
"110",118,"2023-04-17","16:52:16","Northern","Musanze","imiteja","Faba Beans","wholesaler","Musanze","walk"
"111",119,"2023-04-17","16:52:16","Northern","Musanze","biringanya","Aubergine","wholesaler","Nyarungenge","walk"
"112",120,"2023-04-17","16:52:53","Northern","Gicumbi","inanasi","Pineapple","bulk_market","Gicumbi","moto,walk"
"113",121,"2023-04-17","16:52:53","Northern","Gicumbi","ibinyomoro","Tree Tomato","bulk_market","Gicumbi","moto,walk"
"114",122,"2023-04-17","16:59:43","Northern","Gicumbi","ibitoki(byoguteka)","Banana Cooking","own_farm","Gicumbi","moto"
"115",123,"2023-04-17","16:59:43","Northern","Gicumbi","ibirayi","Potato","wholesaler","Gicumbi","moto"
"116",124,"2023-04-17","17:01:27","Eastern","Nyagatare","amatunda","Passionfruit","bulk_market","Kayonza","walk"
"117",125,"2023-04-17","17:12:16","Northern","Gicumbi","ibishyimbo","Field Beans","wholesaler","Gicumbi","moto"
"118",126,"2023-04-17","17:12:16","Northern","Gicumbi","ibigori","Maize","wholesaler","Gicumbi","moto"
"119",127,"2023-04-17","17:12:19","Eastern","Nyagatare","amatunda","Passionfruit","bulk_market","Gatsibo","moto,walk"
"120",128,"2023-04-17","17:12:19","Eastern","Nyagatare","inanasi","Pineapple","wholesaler","Nyagatare","moto,walk"
"121",129,"2023-04-17","17:12:42","Northern","Musanze","ibirayi","Potato","wholesaler","Musanze,ruhango","car"
"122",130,"2023-04-17","17:23:58","Northern","Gicumbi","ibigori","Maize","wholesaler","Nyagatare","walk"
"123",131,"2023-04-17","17:23:58","Northern","Gicumbi","amasaka","Sorghum","wholesaler","Nyarungenge","walk"
"124",132,"2023-04-17","17:29:18","Northern","Musanze","ibirayi","Potato","wholesaler","Musanze","bicycle,moto,walk"
"125",133,"2023-04-17","17:32:14","Northern","Gicumbi","amasaka","Sorghum","wholesaler","Gicumbi","walk"
"126",134,"2023-04-17","17:32:14","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","walk"
"127",135,"2023-04-17","17:41:47","Northern","Gicumbi","amatunda","Passionfruit","bulk_market","Gicumbi","bicycle,moto,walk"
"128",136,"2023-04-17","17:41:47","Northern","Gicumbi","ibinyomoro","Tree Tomato","neighbour_farm","Gicumbi","bicycle,moto,walk"
"129",137,"2023-04-17","17:42:57","Eastern","Nyagatare","ibitoki(by`imineke","Banana Beer","bulk_market","Nyagatare","moto,walk"
"130",138,"2023-04-17","17:42:57","Eastern","Nyagatare","inanasi","Pineapple","wholesaler","Nyagatare","moto,walk"
"131",139,"2023-04-17","17:43:18","Northern","Musanze","ibirayi","Potato","farm_group","Musanze","bicycle,car,moto"
"132",140,"2023-04-17","17:49:13","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","bicycle,moto,walk"
"133",141,"2023-04-17","17:49:13","Northern","Gicumbi","ubunyobwa","Ground Nuts","bulk_market","Nyarungenge","bicycle,moto,walk"
"134",142,"2023-04-17","17:54:00","Northern","Gicumbi","amatunda","Passionfruit","bulk_market","Gicumbi","moto,walk"
"135",143,"2023-04-17","17:54:00","Northern","Gicumbi","inanasi","Pineapple","bulk_market","Gakenke","moto,walk"
"136",144,"2023-04-18","09:28:38","Eastern","Nyagatare","ibitoki(by`imineke","Banana Beer","wholesaler","Nyagatare","walk"
"137",145,"2023-04-18","09:28:38","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk"
"138",146,"2023-04-18","09:49:42","Eastern","Nyagatare","imiteja","Faba Beans","wholesaler","Nyagatare","walk"
"139",147,"2023-04-18","09:49:42","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk"
"140",148,"2023-04-18","10:17:34","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk"
"141",149,"2023-04-18","10:17:34","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk"
"142",150,"2023-04-18","10:17:34","Eastern","Nyagatare","biringanya","Aubergine","own_farm","Nyagatare","walk"
"143",151,"2023-04-18","10:52:28","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","wholesaler","Nyagatare","walk"
"144",152,"2023-04-18","10:52:28","Eastern","Nyagatare","imyumbati","Cassava Root","neighbour_farm","Nyagatare","walk"
"145",153,"2023-04-18","10:52:28","Eastern","Nyagatare","ibitoki(byoguteka)","Banana Cooking","wholesaler","Nyagatare","walk"
"146",154,"2023-04-18","11:03:49","Eastern","Nyagatare","ibijumbaby`umweru","Sweet Potatoes White","neighbour_farm","Nyagatare","walk"
"147",155,"2023-04-18","11:03:49","Eastern","Nyagatare","imyumbati","Cassava Root","wholesaler","Nyagatare","walk"
"148",156,"2023-04-18","11:03:49","Eastern","Nyagatare","ibitoki(byoguteka)","Banana Cooking","wholesaler","Nyagatare","walk"
"149",157,"2023-04-18","11:25:28","Eastern","Nyagatare","imiteja","Faba Beans","neighbour_farm","Nyagatare","walk"
"150",158,"2023-04-18","11:25:28","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk"
"151",159,"2023-04-18","11:25:28","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk"
"152",160,"2023-04-18","11:42:45","Eastern","Nyagatare","amateke","Taro","wholesaler","Nyagatare","walk"
"153",161,"2023-04-18","11:42:45","Eastern","Nyagatare","ibijumbaby`umuhondo","Sweet Potatoes Orange","wholesaler","Nyagatare","walk"
"154",162,"2023-04-18","11:42:45","Eastern","Nyagatare","imyumbati","Cassava Root","wholesaler","Nyagatare","walk"
"155",163,"2023-04-18","11:42:51","Northern","Gakenke","inanasi","Pineapple","wholesaler","Gakenke","bicycle"
"156",164,"2023-04-18","11:42:51","Northern","Gakenke","biringanya","Aubergine","farm_group","Gakenke","bicycle"
"157",165,"2023-04-18","11:42:51","Northern","Gakenke","ibitunguru","Onion","wholesaler","Musanze","bicycle"
"158",166,"2023-04-18","11:46:14","Northern","Gakenke","ibitunguru","Onion","wholesaler","Gakenke","bicycle,car,walk"
"159",167,"2023-04-18","11:46:14","Northern","Gakenke","imiteja","Faba Beans","own_farm","Gakenke","bicycle,car,walk"
"160",168,"2023-04-18","11:46:14","Northern","Gakenke","karoti","Carrot","wholesaler","Gakenke","bicycle,car,walk"
"161",169,"2023-04-18","12:00:42","Northern","Gicumbi","amatunda","Passionfruit","wholesaler","Gakenke,gicumbi","walk"
"162",170,"2023-04-18","12:00:42","Northern","Gicumbi","inanasi","Pineapple","wholesaler","Gakenke,gicumbi","walk"
"163",171,"2023-04-18","12:00:42","Northern","Gicumbi","ibinyomoro","Tree Tomato","wholesaler","Gicumbi","walk"
"164",172,"2023-04-18","12:02:54","Northern","Gakenke","ibitunguru","Onion","wholesaler","Gakenke","walk"
"165",173,"2023-04-18","12:02:54","Northern","Gakenke","karoti","Carrot","wholesaler","Gakenke","walk"
"166",174,"2023-04-18","12:02:54","Northern","Gakenke","imiteja","Faba Beans","wholesaler","Gakenke","walk"
"167",175,"2023-04-18","12:04:48","Eastern","Nyagatare","ubunyobwa","Ground Nuts","wholesaler","Nyarungenge","walk"
"168",176,"2023-04-18","12:04:48","Eastern","Nyagatare","umuceri","Rice","wholesaler","Nyagatare","walk"
"169",178,"2023-04-18","12:09:57","Northern","Gicumbi","amatunda","Passionfruit","wholesaler","Gicumbi,musanze","walk"
"170",179,"2023-04-18","12:09:57","Northern","Gicumbi","inanasi","Pineapple","wholesaler","Gakenke,gicumbi","walk"
"171",180,"2023-04-18","12:09:57","Northern","Gicumbi","ibinyomoro","Tree Tomato","wholesaler","Gicumbi,musanze","walk"
"172",181,"2023-04-18","12:14:00","Northern","Gakenke","ibitunguru","Onion","wholesaler","Gakenke,musanze","bicycle"
"173",182,"2023-04-18","12:14:00","Northern","Gakenke","urusenda","Chilli","wholesaler","Gakenke","bicycle"
"174",183,"2023-04-18","12:14:00","Northern","Gakenke","beterave","Beetroot","wholesaler","Musanze","bicycle"
"175",184,"2023-04-18","12:15:47","Northern","Gakenke","inyanya","Tomato","bulk_market","Gakenke,ruhango","bicycle,walk"
"176",185,"2023-04-18","12:15:47","Northern","Gakenke","imiteja","Faba Beans","wholesaler","Gakenke","bicycle,walk"
"177",186,"2023-04-18","12:15:47","Northern","Gakenke","karoti","Carrot","wholesaler","Other,rubavu","bicycle,walk"
"178",187,"2023-04-18","12:16:00","Northern","Gicumbi","amatunda","Passionfruit","wholesaler","Gakenke","moto"
"179",188,"2023-04-18","12:16:00","Northern","Gicumbi","inanasi","Pineapple","wholesaler","Gakenke,gicumbi","moto"
"180",189,"2023-04-18","12:16:00","Northern","Gicumbi","ibinyomoro","Tree Tomato","wholesaler","Gicumbi","moto"
"181",190,"2023-04-18","12:29:37","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","bulk_market","Gakenke","walk"
"182",191,"2023-04-18","12:29:37","Northern","Gakenke","ibitoki(by`imineke","Banana Beer","wholesaler","Gakenke","walk"
"183",192,"2023-04-18","12:29:37","Northern","Gakenke","ibitoki(by`inzoga)","Banana Beer","wholesaler","Gakenke","walk"
"184",193,"2023-04-18","12:35:58","Northern","Gakenke","ibitunguru","Onion","wholesaler","Musanze","bicycle"
"185",194,"2023-04-18","12:35:58","Northern","Gakenke","urusenda","Chilli","wholesaler","Gakenke,musanze","bicycle"
"186",195,"2023-04-18","12:35:58","Northern","Gakenke","beterave","Beetroot","wholesaler","Musanze","bicycle"
"187",197,"2023-04-18","12:37:15","Northern","Gicumbi","ipapayi","Papaya","wholesaler","Gicumbi","walk"
"188",200,"2023-04-18","12:44:50","Northern","Gicumbi","ipapayi","Papaya","wholesaler","Gicumbi","walk"
"189",202,"2023-04-18","12:47:08","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","wholesaler","Gakenke,ruhango","walk"
"190",205,"2023-04-18","12:52:51","Northern","Gicumbi","ipapayi","Papaya","wholesaler","Gicumbi","walk"
"191",206,"2023-04-18","12:58:14","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","wholesaler","Ruhango","bicycle,walk"
"192",207,"2023-04-18","13:07:54","Northern","Gicumbi","soya","Soya Beans","wholesaler","Gicumbi,musanze","walk"
"193",208,"2023-04-18","13:07:54","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","walk"
"194",209,"2023-04-18","13:07:54","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi,rutsiro","walk"
"195",210,"2023-04-18","13:07:58","Northern","Gakenke","inanasi","Pineapple","farm_group","Gakenke","walk"
"196",211,"2023-04-18","13:14:08","Northern","Gicumbi","soya","Soya Beans","wholesaler","Gicumbi","walk"
"197",212,"2023-04-18","13:14:08","Northern","Gicumbi","uburo","Millet","wholesaler","Gakenke,gicumbi,musanze","walk"
"198",213,"2023-04-18","13:14:08","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","walk"
"199",214,"2023-04-18","13:17:11","Eastern","Nyagatare","isombe","Cassava Leaves","neighbour_farm","Nyagatare","walk"
"200",215,"2023-04-18","13:20:52","Northern","Gicumbi","uburo","Millet","wholesaler","Gicumbi","walk"
"201",216,"2023-04-18","13:20:52","Northern","Gicumbi","soya","Soya Beans","wholesaler","Gicumbi","walk"
"202",217,"2023-04-18","13:20:52","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","walk"
"203",218,"2023-04-18","13:21:44","Northern","Gakenke","ibirayi","Potato","farm_group","Gakenke","walk"
"204",219,"2023-04-18","13:23:18","Northern","Gakenke","inanasi","Pineapple","farm_group","Gakenke","bicycle,walk"
"205",220,"2023-04-18","13:28:50","Eastern","Nyagatare","beterave","Beetroot","neighbour_farm","Nyagatare","walk"
"206",221,"2023-04-18","13:28:50","Eastern","Nyagatare","dodo","Amaranth Leaves","neighbour_farm","Nyagatare","walk"
"207",222,"2023-04-18","13:28:50","Eastern","Nyagatare","ubunyobwa","Ground Nuts","wholesaler","Nyarungenge","walk"
"208",223,"2023-04-18","13:29:09","Northern","Gakenke","ibirayi","Potato","wholesaler","Gakenke,ruhango","bicycle,car,walk"
"209",224,"2023-04-18","13:31:53","Northern","Gakenke","ibigori","Maize","wholesaler","Gakenke","walk"
"210",225,"2023-04-18","13:31:53","Northern","Gakenke","ibishyimbo","Field Beans","farm_group","Gakenke","walk"
"211",226,"2023-04-18","13:42:41","Eastern","Nyagatare","voka","Avocado","wholesaler","Nyagatare","walk"
"212",228,"2023-04-18","13:42:41","Eastern","Nyagatare","amatunda","Passionfruit","wholesaler","Nyagatare","walk"
"213",229,"2023-04-18","13:43:03","Northern","Gakenke","amasaka","Sorghum","wholesaler","Gakenke","bicycle"
"214",230,"2023-04-18","13:43:03","Northern","Gakenke","ibigori","Maize","farm_group","Gakenke","bicycle"
"215",231,"2023-04-18","13:43:03","Northern","Gakenke","ibishyimbo","Field Beans","bulk_market","Gakenke","bicycle"
"216",232,"2023-04-18","13:50:47","Eastern","Nyagatare","beterave","Beetroot","wholesaler","Nyagatare","walk"
"217",233,"2023-04-18","13:50:47","Eastern","Nyagatare","urusenda","Chilli","wholesaler","Nyagatare","walk"
"218",234,"2023-04-18","13:50:47","Eastern","Nyagatare","umuceri","Rice","wholesaler","Nyagatare","walk"
"219",235,"2023-04-18","13:53:41","Northern","Gakenke","amashu","Cabbage","wholesaler","Gakenke,musanze","bicycle,walk"
"220",236,"2023-04-18","13:56:22","Northern","Gakenke","ibigori","Maize","farm_group","Gakenke","bicycle,walk"
"221",237,"2023-04-18","13:56:22","Northern","Gakenke","amasaka","Sorghum","wholesaler","Rulindo","bicycle,walk"
"222",238,"2023-04-18","13:56:22","Northern","Gakenke","ibishyimbo","Field Beans","wholesaler","Rulindo","bicycle,walk"
"223",239,"2023-04-18","14:00:43","Northern","Gakenke","dodo","Amaranth Leaves","bulk_market","Gakenke","bicycle,walk"
"224",240,"2023-04-18","14:00:43","Northern","Gakenke","amashu","Cabbage","bulk_market","Gakenke","bicycle,walk"
"225",241,"2023-04-18","14:09:01","Northern","Gakenke","amashu","Cabbage","farm_group","Gakenke","bicycle,moto,walk"
"226",242,"2023-04-18","14:11:42","Eastern","Nyagatare","amashu","Cabbage","neighbour_farm","Nyagatare","walk"
"227",243,"2023-04-18","14:11:42","Eastern","Nyagatare","imiteja","Faba Beans","wholesaler","Nyagatare","walk"
"228",244,"2023-04-18","14:11:42","Eastern","Nyagatare","soya","Soya Beans","wholesaler","Nyagatare","walk"
"229",245,"2023-04-18","14:16:04","Northern","Gakenke","urusenda","Chilli","farm_group","Gakenke","bicycle,walk"
