"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"36",2024-01-04,"20:13:11","Eastern","Kirehe","ibijumba_by'_umweru","Sweet Potatoes White","neighbour_farm","Kirehe","moto"
"42",2024-01-04,"20:11:47","Eastern","Kirehe","ibigori","Maize","wholesaler","Kirehe","car"
"45",2024-01-04,"19:43:23","Northern","Gicumbi","ibihaza","Pumpkin","neighbour_farm","Gicumbi","bicycle"
"47",2024-01-04,"19:34:24","Western","Nyamasheke","ibigori","Maize","wholesaler","Nyamasheke","car"
"48",2024-01-04,"19:26:03","Western","Karongi","karoti","Carrot","neighbour_farm","Karongi","bicycle"
"51",2024-01-04,"18:45:23","Northern","Gicumbi","ibigori","Maize","wholesaler","Burera","bicycle"
"52",2024-01-04,"18:33:11","Northern","Gicumbi","ibishyimbo byumye","Field Beans","wholesaler","Burera","bicycle"
"53",2024-01-04,"18:28:08","Eastern","Nyagatare","ibitoki","Banana Cooking","wholesaler","Nyagatare","bicycle"
"54",2024-01-04,"18:25:59","Eastern","Kirehe","soya","Soya Beans","wholesaler","Kicukiro","car"
"55",2024-01-04,"18:18:58","Western","Nyamasheke","ibitoki","Banana Cooking","neighbour_farm","Nyamasheke","walk"
"56",2024-01-04,"18:12:13","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","bicycle"
"57",2024-01-04,"18:12:07","Southern","Huye","ibijumba_by'_umweru","Sweet Potatoes White","wholesaler","Huye","bicycle"
"58",2024-01-04,"18:11:12","Southern","Nyamagabe","ibijumba_by'_umweru","Sweet Potatoes White","neighbour_farm","Nyamagabe","walk"
"59",2024-01-04,"18:08:48","Eastern","Nyagatare","imiteja","Faba Beans","wholesaler","Nyagatare","bicycle"
"60",2024-01-04,"18:07:37","Eastern","Nyagatare","imiteja","Faba Beans","wholesaler","Nyagatare","bicycle"
"61",2024-01-04,"18:06:26","Eastern","Kirehe","amashu","Cabbage","neighbour_farm","Kirehe","moto"
"62",2024-01-04,"18:03:59","Eastern","Nyagatare","beterave","Beetroot","wholesaler","Nyagatare","bicycle"
"63",2024-01-04,"18:03:09","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","bicycle"
"64",2024-01-04,"17:59:06","Kigali","Nyarugenge","urusenda","Chilli","own_farm","Nyarugenge","bicycle"
"65",2024-01-04,"17:58:03","Northern","Gakenke","ibinyomoro","Tree Tomato","neighbour_farm","Gakenke","walk"
"66",2024-01-04,"17:52:48","Southern","Huye","ibishyimbo byumye","Field Beans","wholesaler","Huye","bicycle"
"67",2024-01-04,"17:51:40","Northern","Gakenke","amatunda","Passionfruit","neighbour_farm","Gakenke","walk"
"69",2024-01-04,"17:45:56","Kigali","Kicukiro","imboga za dodo","Amaranth Leaves","neighbour_farm","Don't Know","bicycle"
"70",2024-01-04,"17:44:56","Eastern","Nyagatare","uburo","Millet","neighbour_farm","Nyagatare","bicycle"
"71",2024-01-04,"17:43:38","Eastern","Ngoma","uburo","Millet","neighbour_farm","Ngoma","bicycle"
"72",2024-01-04,"17:42:11","Kigali","Nyarugenge","amateke ya taro","Taro","wholesaler","Nyagatare","car"
"73",2024-01-04,"17:40:21","Eastern","Kayonza","inyanya","Tomato","wholesaler","Kayonza","bicycle"
"74",2024-01-04,"17:39:07","Eastern","Kayonza","beterave","Beetroot","own_farm","Gakenke","walk"
"75",2024-01-04,"17:37:43","Kigali","Nyarugenge","ibijumba_by'_umweru","Sweet Potatoes White","wholesaler","Nyarugenge","moto"
"76",2024-01-04,"17:37:11","Northern","Rulindo","ibijumba_by'_umweru","Sweet Potatoes White","wholesaler","Rulindo","walk"
"77",2024-01-04,"17:36:29","Eastern","Kayonza","karoti","Carrot","wholesaler","Don't Know","bicycle"
"79",2024-01-04,"17:34:11","Eastern","Ngoma","ubunyobwa","Ground Nuts","own_farm","Ngoma","bicycle"
"80",2024-01-04,"17:32:05","Kigali","Gasabo","ingano za sayiri","Barley","neighbour_farm","Gasabo","walk"
"84",2024-01-04,"17:25:36","Southern","Kamonyi","ibishyimbo byumye","Field Beans","own_farm","Kamonyi","walk"
"85",2024-01-04,"17:07:40","Kigali","Gasabo","imiteja","Faba Beans","neighbour_farm","Gicumbi","bicycle"
"86",2024-01-04,"17:04:02","Kigali","Gasabo","ibitunguru","Onion","wholesaler","Gasabo","bus"
"87",2024-01-04,"17:02:43","Kigali","Gasabo","karoti","Carrot","wholesaler","Gasabo","bicycle"
"88",2024-01-04,"17:01:10","Kigali","Gasabo","urusenda","Chilli","wholesaler","Gasabo","bus"
"89",2024-01-04,"16:59:04","Kigali","Gasabo","intoryi","Aubergine","wholesaler","Gicumbi","bicycle"
"90",2024-01-04,"16:30:35","Southern","Nyanza","ibitoki","Banana Cooking","neighbour_farm","Nyanza","bicycle"
"91",2024-01-04,"16:26:38","Northern","Burera","ibinyomoro","Tree Tomato","wholesaler","Burera","car"
"92",2024-01-04,"16:23:30","Kigali","Gasabo","ingano","Wheat","wholesaler","Gasabo","bicycle"
"93",2024-01-04,"16:20:43","Southern","Nyanza","ibitoki","Banana Cooking","neighbour_farm","Nyanza","bicycle"
"94",2024-01-04,"16:13:00","Southern","Nyanza","ibitoki","Banana Cooking","neighbour_farm","Nyanza","bicycle"
"95",2024-01-04,"16:12:50","Western","Rusizi","ibishyimbo byumye","Field Beans","wholesaler","Rusizi","walk"
"96",2024-01-04,"16:04:55","Western","Nyamasheke","soya","Soya Beans","wholesaler","Nyamasheke","bicycle"
"97",2024-01-04,"16:04:50","Southern","Nyamagabe","avoka","Avocado","neighbour_farm","Gakenke","truck"
"98",2024-01-04,"15:58:04","Northern","Gicumbi","ipapayi","Papaya","wholesaler","Gicumbi","moto"
"99",2024-01-04,"15:57:56","Western","Nyamasheke","ibishyimbo byumye","Field Beans","neighbour_farm","Nyamasheke","bicycle"
"100",2024-01-04,"15:56:24","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","truck"
"101",2024-01-04,"15:54:57","Northern","Gicumbi","amashaza","Green Peas","wholesaler","Gicumbi","car"
"102",2024-01-04,"15:54:20","Western","Rubavu","ibishyimbo byumye","Field Beans","wholesaler","Rubavu","bus"
"103",2024-01-04,"15:48:28","Kigali","Gasabo","avoka","Avocado","neighbour_farm","Gasabo","car"
"104",2024-01-04,"15:48:15","Eastern","Kayonza","ibijumba_bisa_oranje","Sweet Potatoes Orange","neighbour_farm","Kayonza","bicycle"
"106",2024-01-04,"15:44:46","Northern","Gicumbi","avoka","Avocado","neighbour_farm","Don't Know","bicycle"
"107",2024-01-04,"15:42:26","Eastern","Gatsibo","ibirayi","Potato","neighbour_farm","Gatsibo","bicycle"
"108",2024-01-04,"15:37:56","Northern","Gakenke","ibirayi","Potato","neighbour_farm","Gakenke","bicycle"
"109",2024-01-04,"15:36:45","Kigali","Kicukiro","ibitoki","Banana Cooking","wholesaler","Kayonza","bus"
"110",2024-01-04,"15:30:18","Eastern","Bugesera","amafi","Fish","wholesaler","Bugesera","car"
"111",2024-01-04,"15:25:47","Western","Karongi","ibijumba_bisa_oranje","Sweet Potatoes Orange","wholesaler","Karongi","bicycle"
"112",2024-01-04,"15:22:40","Eastern","Gatsibo","amashu","Cabbage","wholesaler","Gatsibo","walk"
"113",2024-01-04,"15:17:14","Kigali","Gasabo","amafi","Fish","wholesaler","Gasabo","bicycle"
"114",2024-01-04,"15:13:37","Kigali","Nyarugenge","inyama z'inka","Cow Meat","wholesaler","Nyarugenge","car"
"116",2024-01-04,"15:09:33","Eastern","Gatsibo","soya","Soya Beans","wholesaler","Gatsibo","bicycle"
"117",2024-01-04,"15:08:01","Southern","Nyanza","inyanya","Tomato","neighbour_farm","Nyanza","bicycle"
"118",2024-01-04,"15:07:33","Eastern","Kirehe","inyanya","Tomato","neighbour_farm","Kirehe","walk"
"119",2024-01-04,"15:07:23","Northern","Musanze","imyumbati","Cassava Root","wholesaler","Gakenke","car"
"120",2024-01-04,"15:06:42","Eastern","Rwamagana","inyanya","Tomato","wholesaler","Rwamagana","walk"
"121",2024-01-04,"15:04:11","Eastern","Rwamagana","ibitunguru","Onion","wholesaler","Rwamagana","bicycle"
"122",2024-01-04,"15:02:43","Eastern","Gatsibo","uburo","Millet","wholesaler","Gatsibo","bicycle"
"123",2024-01-04,"15:02:03","Western","Nyamasheke","umuceli","Rice","wholesaler","Nyamasheke","walk"
"124",2024-01-04,"15:01:00","Eastern","Rwamagana","amashu","Cabbage","wholesaler","Rwamagana","bicycle"
"125",2024-01-04,"14:56:03","Eastern","Rwamagana","umuceli","Rice","wholesaler","Rwamagana","bicycle"
"128",2024-01-04,"14:51:22","Kigali","Gasabo","inanasi","Pineapple","wholesaler","Gasabo","bus"
"129",2024-01-04,"14:50:10","Eastern","Rwamagana","inanasi","Pineapple","wholesaler","Rwamagana","bicycle"
"130",2024-01-04,"14:49:23","Southern","Kamonyi","inanasi","Pineapple","neighbour_farm","Kamonyi","car"
"131",2024-01-04,"14:48:58","Eastern","Gatsibo","ibigori","Maize","wholesaler","Gatsibo","moto"
"132",2024-01-04,"14:48:54","Southern","Ruhango","amashu","Cabbage","neighbour_farm","Ruhango","bicycle"
"133",2024-01-04,"14:47:32","Western","Nyamasheke","inyanya","Tomato","neighbour_farm","Nyamasheke","walk"
"134",2024-01-04,"14:46:44","Kigali","Kicukiro","ibitoki","Banana Cooking","wholesaler","Kayonza","bus"
"135",2024-01-04,"14:46:25","Western","Rubavu","ibitunguru","Onion","wholesaler","Rubavu","bicycle"
"136",2024-01-04,"14:45:32","Southern","Kamonyi","amagi","Eggs","neighbour_farm","Kamonyi","car"
"137",2024-01-04,"14:45:19","Eastern","Kirehe","inanasi","Pineapple","neighbour_farm","Kirehe","walk"
"139",2024-01-04,"14:44:15","Western","Rubavu","urusenda","Chilli","wholesaler","Rubavu","bicycle"
"140",2024-01-04,"14:41:37","Western","Rusizi","ibinyomoro","Tree Tomato","neighbour_farm","Nyamasheke","car"
"141",2024-01-04,"14:41:35","Western","Rubavu","beterave","Beetroot","wholesaler","Rubavu","bicycle"
"142",2024-01-04,"14:41:28","Kigali","Kicukiro","ibitoki","Banana Cooking","wholesaler","Kayonza","bus"
"143",2024-01-04,"14:40:12","Western","Rusizi","inanasi","Pineapple","wholesaler","Rusizi","bicycle"
"144",2024-01-04,"14:38:56","Northern","Gakenke","imyumbati","Cassava Root","neighbour_farm","Musanze","bicycle"
"145",2024-01-04,"14:37:52","Western","Rusizi","amatunda","Passionfruit","neighbour_farm","Rusizi","car"
"146",2024-01-04,"14:36:45","Kigali","Nyarugenge","ibitunguru","Onion","wholesaler","Nyarugenge","walk"
"147",2024-01-04,"14:34:43","Kigali","Kicukiro","ibirayi","Potato","wholesaler","Kicukiro","car"
"148",2024-01-04,"14:32:54","Western","Nyamasheke","imineke","Banana Sweet","neighbour_farm","Nyamasheke","walk"
"149",2024-01-04,"14:32:34","Kigali","Nyarugenge","amashaza","Green Peas","wholesaler","Nyarugenge","walk"
"150",2024-01-04,"14:32:25","Western","Rusizi","ipapayi","Papaya","neighbour_farm","Rusizi","car"
"151",2024-01-04,"14:32:04","Southern","Kamonyi","ibitunguru","Onion","wholesaler","Kamonyi","walk"
"152",2024-01-04,"14:28:18","Kigali","Nyarugenge","intoryi","Aubergine","wholesaler","Nyarugenge","walk"
"153",2024-01-04,"14:27:52","Northern","Gakenke","imboga za dodo","Amaranth Leaves","neighbour_farm","Gakenke","bicycle"
"154",2024-01-04,"14:25:11","Northern","Musanze","amashu","Cabbage","neighbour_farm","Musanze","bicycle"
"155",2024-01-04,"14:25:08","Western","Nyamasheke","ibitoki","Banana Cooking","own_farm","Nyamasheke","walk"
"156",2024-01-04,"14:23:12","Eastern","Bugesera","sipinaci","Spinach","wholesaler","Bugesera","car"
"157",2024-01-04,"14:22:29","Kigali","Gasabo","ibijumba_by'_umweru","Sweet Potatoes White","wholesaler","Gicumbi","bicycle"
"158",2024-01-04,"14:22:23","Northern","Musanze","imiteja","Faba Beans","wholesaler","Musanze","bicycle"
"159",2024-01-04,"14:21:46","Eastern","Nyagatare","amasaka","Sorghum","wholesaler","Nyagatare","bicycle"
"160",2024-01-04,"14:21:07","Southern","Huye","ibitoki","Banana Cooking","neighbour_farm","Huye","walk"
"161",2024-01-04,"14:20:02","Western","Nyamasheke","amafi","Fish","wholesaler","Nyamasheke","car"
"162",2024-01-04,"14:20:00","Northern","Gicumbi","imiteja","Faba Beans","wholesaler","Musanze","car"
"163",2024-01-04,"14:19:49","Eastern","Gatsibo","amateke ya taro","Taro","neighbour_farm","Gatsibo","bicycle"
"164",2024-01-04,"14:17:43","Eastern","Bugesera","ibitunguru","Onion","wholesaler","Bugesera","car"
"165",2024-01-04,"14:17:15","Northern","Musanze","karoti","Carrot","wholesaler","Musanze","bicycle"
"166",2024-01-04,"14:16:17","Northern","Gicumbi","shufureri","Cauliflower","neighbour_farm","Musanze","car"
"167",2024-01-04,"14:16:15","Southern","Kamonyi","isombe","Cassava Leaves","wholesaler","Kamonyi","walk"
"168",2024-01-04,"14:14:11","Western","Karongi","soya","Soya Beans","neighbour_farm","Karongi","walk"
"169",2024-01-04,"14:14:10","Northern","Gicumbi","ibitunguru","Onion","own_farm","Gicumbi","walk"
"170",2024-01-04,"14:14:03","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk"
"171",2024-01-04,"14:13:45","Kigali","Nyarugenge","beterave","Beetroot","wholesaler","Nyarugenge","moto"
"172",2024-01-04,"14:13:41","Eastern","Bugesera","imiteja","Faba Beans","wholesaler","Bugesera","bicycle"
"173",2024-01-04,"14:13:02","Eastern","Nyagatare","uburo","Millet","wholesaler","Nyagatare","moto"
"174",2024-01-04,"14:12:45","Eastern","Nyagatare","ibitunguru","Onion","wholesaler","Nyagatare","walk"
"175",2024-01-04,"14:12:34","Eastern","Kirehe","amasaka","Sorghum","cooperative","Kirehe","bicycle"
"176",2024-01-04,"14:12:06","Southern","Kamonyi","urusenda","Chilli","wholesaler","Kamonyi","walk"
"177",2024-01-04,"14:11:47","Western","Karongi","ibigori","Maize","wholesaler","Don't Know","bicycle"
"179",2024-01-04,"14:10:43","Southern","Ruhango","inanasi","Pineapple","neighbour_farm","Ruhango","bicycle"
"180",2024-01-04,"14:10:40","Northern","Musanze","intoryi","Aubergine","wholesaler","Musanze","bicycle"
"181",2024-01-04,"14:10:34","Kigali","Nyarugenge","imyumbati","Cassava Root","wholesaler","Nyarugenge","moto"
"182",2024-01-04,"14:09:55","Northern","Gicumbi","urusenda","Chilli","own_farm","Gicumbi","walk"
"183",2024-01-04,"14:09:35","Southern","Nyanza","amashu","Cabbage","neighbour_farm","Nyanza","walk"
"184",2024-01-04,"14:08:49","Western","Karongi","ibishyimbo byumye","Field Beans","neighbour_farm","Karongi","walk"
"186",2024-01-04,"14:07:32","Eastern","Ngoma","ibijumba_by'_umweru","Sweet Potatoes White","neighbour_farm","Ngoma","bicycle"
"187",2024-01-04,"14:07:28","Eastern","Kayonza","imboga za dodo","Amaranth Leaves","wholesaler","Kayonza","walk"
"188",2024-01-04,"14:05:59","Southern","Gisagara","ibitoki","Banana Cooking","wholesaler","Gisagara","walk"
"189",2024-01-04,"14:05:37","Eastern","Gatsibo","ibitunguru","Onion","wholesaler","Nyagatare","car"
"190",2024-01-04,"14:05:29","Eastern","Nyagatare","ingano za sayiri","Barley","wholesaler","Nyagatare","car"
"191",2024-01-04,"14:05:10","Southern","Kamonyi","ibigori","Maize","cooperative","Kamonyi","walk"
"192",2024-01-04,"14:04:51","Western","Nyamasheke","inyanya","Tomato","neighbour_farm","Nyamasheke","walk"
"193",2024-01-04,"14:04:22","Southern","Nyanza","ibitunguru","Onion","neighbour_farm","Nyanza","bicycle"
"194",2024-01-04,"14:04:04","Eastern","Nyagatare","amagi","Eggs","wholesaler","Nyagatare","walk"
"195",2024-01-04,"14:02:23","Northern","Gicumbi","imiteja","Faba Beans","neighbour_farm","Rulindo","car"
"196",2024-01-04,"14:01:08","Southern","Huye","ibitunguru","Onion","neighbour_farm","Gisagara","bicycle"
"197",2024-01-04,"13:59:25","Northern","Gicumbi","urusenda","Chilli","wholesaler","Rulindo","car"
"198",2024-01-04,"13:58:30","Southern","Kamonyi","amashaza","Green Peas","neighbour_farm","Kamonyi","bicycle"
"199",2024-01-04,"13:56:43","Western","Rusizi","amashu","Cabbage","wholesaler","Rusizi","bicycle"
"200",2024-01-04,"13:56:29","Eastern","Kayonza","soya","Soya Beans","wholesaler","Kayonza","bicycle"
"201",2024-01-04,"13:56:27","Northern","Gicumbi","karoti","Carrot","neighbour_farm","Gicumbi","bicycle"
"202",2024-01-04,"13:54:41","Southern","Gisagara","avoka","Avocado","wholesaler","Gisagara","walk"
"203",2024-01-04,"13:53:38","Southern","Ruhango","imyumbati","Cassava Root","wholesaler","Ruhango","walk"
"204",2024-01-04,"13:53:26","Eastern","Kirehe","soya","Soya Beans","wholesaler","Kirehe","bicycle"
"205",2024-01-04,"13:53:17","Southern","Muhanga","avoka","Avocado","neighbour_farm","Muhanga","walk"
"206",2024-01-04,"13:53:11","Eastern","Kayonza","amasaka","Sorghum","wholesaler","Kayonza","bicycle"
"207",2024-01-04,"13:52:59","Eastern","Kayonza","amashu","Cabbage","cooperative","Kayonza","bicycle"
"208",2024-01-04,"13:52:08","Southern","Kamonyi","ibishyimbo byumye","Field Beans","neighbour_farm","Kamonyi","bicycle"
"209",2024-01-04,"13:49:51","Western","Karongi","avoka","Avocado","wholesaler","Karongi","walk"
"210",2024-01-04,"13:49:37","Eastern","Kirehe","beterave","Beetroot","neighbour_farm","Kirehe","walk"
"211",2024-01-04,"13:49:27","Eastern","Kayonza","ibishyimbo byumye","Field Beans","wholesaler","Kayonza","bicycle"
"212",2024-01-04,"13:48:52","Kigali","Gasabo","ibitunguru","Onion","wholesaler","Gicumbi","bus"
"213",2024-01-04,"13:47:28","Southern","Muhanga","avoka","Avocado","neighbour_farm","Muhanga","walk"
"214",2024-01-04,"13:45:00","Eastern","Kirehe","inanasi","Pineapple","own_farm","Rusizi","car"
"215",2024-01-04,"13:43:49","Eastern","Kayonza","ibitunguru","Onion","wholesaler","Don't Know","walk"
"217",2024-01-04,"13:42:40","Kigali","Gasabo","ibitunguru","Onion","wholesaler","Gicumbi","bicycle"
"218",2024-01-04,"13:42:09","Western","Rusizi","inanasi","Pineapple","wholesaler","Rusizi","bicycle"
"219",2024-01-04,"13:41:01","Northern","Gakenke","ibirayi","Potato","wholesaler","Musanze","car"
"221",2024-01-04,"13:38:14","Northern","Burera","ibisheke","Sugarcane","wholesaler","Gakenke","bicycle"
"223",2024-01-04,"13:38:01","Southern","Gisagara","ibitunguru","Onion","wholesaler","Gisagara","bicycle"
"224",2024-01-04,"13:36:40","Kigali","Kicukiro","ibirayi","Potato","wholesaler","Don't Know","walk"
"225",2024-01-04,"13:36:01","Western","Ngororero","intoryi","Aubergine","neighbour_farm","Ngororero","bicycle"
"226",2024-01-04,"13:35:37","Northern","Burera","amatunda","Passionfruit","neighbour_farm","Burera","bicycle"
"227",2024-01-04,"13:35:29","Western","Nyamasheke","imiteja","Faba Beans","wholesaler","Gasabo","bus"
"228",2024-01-04,"13:35:08","Kigali","Kicukiro","intoryi","Aubergine","wholesaler","Kamonyi","bus"
"230",2024-01-04,"13:35:05","Southern","Kamonyi","ibijumba_by'_umweru","Sweet Potatoes White","wholesaler","Kamonyi","bicycle"
"231",2024-01-04,"13:34:58","Northern","Gakenke","ibinyomoro","Tree Tomato","wholesaler","Gakenke","bicycle"
"232",2024-01-04,"13:34:53","Kigali","Nyarugenge","inyanya","Tomato","wholesaler","Nyarugenge","bus"
"233",2024-01-04,"13:32:30","Eastern","Kirehe","amasaka","Sorghum","wholesaler","Kirehe","bicycle"
"234",2024-01-04,"13:32:06","Northern","Rulindo","imiteja","Faba Beans","neighbour_farm","Rulindo","bicycle"
"235",2024-01-04,"13:31:41","Southern","Nyamagabe","avoka","Avocado","wholesaler","Nyamagabe","bicycle"
"236",2024-01-04,"13:31:21","Northern","Gakenke","inyanya","Tomato","wholesaler","Gakenke","bicycle"
"237",2024-01-04,"13:31:10","Eastern","Rwamagana","inyanya","Tomato","wholesaler","Rwamagana","bicycle"
"238",2024-01-04,"13:30:54","Western","Nyamasheke","karoti","Carrot","wholesaler","Nyamasheke","walk"
"239",2024-01-04,"13:30:28","Northern","Burera","ipapayi","Papaya","neighbour_farm","Burera","bicycle"
"240",2024-01-04,"13:30:19","Kigali","Gasabo","ibitoki","Banana Cooking","wholesaler","Gasabo","walk"
"241",2024-01-04,"13:29:57","Eastern","Ngoma","ibitoki","Banana Cooking","wholesaler","Ngoma","bicycle"
"242",2024-01-04,"13:29:48","Southern","Nyaruguru","ibigori","Maize","neighbour_farm","Nyaruguru","bicycle"
"243",2024-01-04,"13:29:43","Kigali","Kicukiro","uburo","Millet","wholesaler","Kicukiro","moto"
"244",2024-01-04,"13:29:34","Eastern","Kirehe","uburo","Millet","wholesaler","Kirehe","walk"
"245",2024-01-04,"13:29:31","Eastern","Kirehe","ibigori","Maize","wholesaler","Kirehe","bicycle"
"246",2024-01-04,"13:28:49","Eastern","Nyagatare","ibitoki","Banana Cooking","own_farm","Nyagatare","moto"
"247",2024-01-04,"13:28:42","Western","Rubavu","urusenda","Chilli","wholesaler","Rubavu","walk"
"248",2024-01-04,"13:27:45","Southern","Kamonyi","amashaza","Green Peas","own_farm","Kamonyi","car"
"249",2024-01-04,"13:27:35","Northern","Gicumbi","beterave","Beetroot","wholesaler","Gicumbi","bicycle"
"250",2024-01-04,"13:27:30","Eastern","Ngoma","imyumbati","Cassava Root","neighbour_farm","Ngoma","bicycle"
"251",2024-01-04,"13:27:27","Southern","Ruhango","amateke ya taro","Taro","wholesaler","Ruhango","bicycle"
"252",2024-01-04,"13:26:57","Northern","Rulindo","karoti","Carrot","neighbour_farm","Rulindo","bicycle"
"255",2024-01-04,"13:26:01","Western","Rubavu","imiteja","Faba Beans","wholesaler","Gasabo","car"
"256",2024-01-04,"13:25:50","Western","Rubavu","imiteja","Faba Beans","wholesaler","Gasabo","car"
"257",2024-01-04,"13:25:41","Southern","Kamonyi","ibigori","Maize","neighbour_farm","Kamonyi","car"
"258",2024-01-04,"13:24:50","Eastern","Nyagatare","ibitoki","Banana Cooking","wholesaler","Nyagatare","walk"
"259",2024-01-04,"13:24:46","Kigali","Kicukiro","ingano za sayiri","Barley","wholesaler","Kicukiro","moto"
"260",2024-01-04,"13:24:35","Northern","Gicumbi","karoti","Carrot","wholesaler","Gicumbi","bicycle"
"261",2024-01-04,"13:24:06","Northern","Burera","inyanya","Tomato","own_farm","Burera","car"
"262",2024-01-04,"13:24:00","Eastern","Bugesera","inanasi","Pineapple","neighbour_farm","Burera","car"
"263",2024-01-04,"13:23:51","Western","Rusizi","karoti","Carrot","wholesaler","Rusizi","car"
"264",2024-01-04,"13:23:47","Northern","Burera","avoka","Avocado","neighbour_farm","Burera","bicycle"
"265",2024-01-04,"13:23:47","Southern","Huye","soya","Soya Beans","wholesaler","Huye","bicycle"
"266",2024-01-04,"13:23:46","Eastern","Nyagatare","ibitoki","Banana Cooking","wholesaler","Nyagatare","moto"
"267",2024-01-04,"13:23:40","Eastern","Bugesera","amateke ya taro","Taro","wholesaler","Bugesera","moto"
"268",2024-01-04,"13:23:26","Kigali","Nyarugenge","ibitunguru","Onion","wholesaler","Nyarugenge","truck"
"269",2024-01-04,"13:22:59","Eastern","Nyagatare","ibinyomoro","Tree Tomato","wholesaler","Gasabo","bus"
"270",2024-01-04,"13:22:48","Northern","Rulindo","intoryi","Aubergine","neighbour_farm","Rulindo","bicycle"
"271",2024-01-04,"13:22:20","Kigali","Nyarugenge","imboga za dodo","Amaranth Leaves","wholesaler","Nyarugenge","moto"
"272",2024-01-04,"13:22:16","Northern","Gakenke","inyanya","Tomato","cooperative","Gakenke","bicycle"
"273",2024-01-04,"13:22:12","Eastern","Gatsibo","ibitunguru","Onion","wholesaler","Nyagatare","moto"
"274",2024-01-04,"13:22:07","Kigali","Gasabo","sipinaci","Spinach","wholesaler","Gasabo","car"
"276",2024-01-04,"13:21:46","Southern","Nyanza","inyanya","Tomato","wholesaler","Nyanza","bicycle"
"277",2024-01-04,"13:21:39","Western","Rubavu","urusenda","Chilli","wholesaler","Gasabo","car"
